,name,url,star_count,license,contributor_count,size,watchers_count,forks,github_pages,open_issues,topics_count,created_at,updated_at,allow_forking,licence
0,albumentations-team/albumentations,https://github.com/albumentations-team/albumentations,9972,MIT License,30,101857,9972,1282,False,280,12,2018-06-06T03:10:50Z,2022-04-07T09:33:51Z,True,
1,zalandoresearch/fashion-mnist,https://github.com/zalandoresearch/fashion-mnist,9915,MIT License,12,108395,9915,2572,False,24,11,2017-08-25T12:05:15Z,2022-04-07T12:29:30Z,True,
2,Embedding/Chinese-Word-Vectors,https://github.com/Embedding/Chinese-Word-Vectors,9878,Apache License 2.0,2,1477,9878,2166,False,42,6,2018-01-09T09:48:49Z,2022-04-07T13:03:19Z,True,
3,MorvanZhou/tutorials,https://github.com/MorvanZhou/tutorials,9847,MIT License,6,62652,9847,5593,False,13,9,2016-05-29T13:29:44Z,2022-04-07T12:14:41Z,True,
4,dask/dask,https://github.com/dask/dask,9752,"BSD 3-Clause ""New"" or ""Revised"" License",30,52238,9752,1467,False,718,8,2015-01-04T18:50:00Z,2022-04-07T12:12:48Z,True,
5,PySimpleGUI/PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI,9747,GNU Lesser General Public License v3.0,18,228162,9747,1467,True,646,20,2018-07-11T18:28:58Z,2022-04-07T12:56:53Z,True,
6,alexjc/neural-doodle,https://github.com/alexjc/neural-doodle,9744,GNU Affero General Public License v3.0,3,5380,9744,915,False,50,5,2016-03-05T23:35:18Z,2022-04-05T20:33:21Z,True,
7,python-pillow/Pillow,https://github.com/python-pillow/Pillow,9641,Other,30,81290,9641,1828,True,112,8,2012-07-24T21:38:39Z,2022-04-07T02:54:08Z,True,
8,Ciphey/Ciphey,https://github.com/Ciphey/Ciphey,9645,MIT License,30,17164,9645,621,False,54,17,2019-07-16T20:20:39Z,2022-04-07T03:02:04Z,True,
9,tflearn/tflearn,https://github.com/tflearn/tflearn,9582,Other,30,1589,9582,2432,False,566,6,2016-03-31T12:05:53Z,2022-04-05T11:59:20Z,True,
10,samuelcolvin/pydantic,https://github.com/samuelcolvin/pydantic,9585,MIT License,30,4367,9585,904,False,553,10,2017-05-03T21:23:58Z,2022-04-07T13:51:33Z,True,
11,ManimCommunity/manim,https://github.com/ManimCommunity/manim,9581,MIT License,30,33128,9581,837,False,351,4,2020-05-19T02:37:13Z,2022-04-07T13:51:30Z,True,
12,Theano/Theano,https://github.com/Theano/Theano,9552,Other,30,68088,9552,2505,False,682,0,2011-08-10T03:48:06Z,2022-04-05T07:59:51Z,True,
13,dbader/schedule,https://github.com/dbader/schedule,9533,MIT License,30,349,9533,842,False,133,0,2013-05-19T12:51:20Z,2022-04-06T18:27:40Z,True,
14,iterative/dvc,https://github.com/iterative/dvc,9523,Apache License 2.0,30,14955,9523,918,False,618,10,2017-03-04T08:16:33Z,2022-04-07T12:15:04Z,True,
15,RunaCapital/awesome-oss-alternatives,https://github.com/RunaCapital/awesome-oss-alternatives,9539,,30,797,9539,470,False,23,9,2021-11-15T09:38:58Z,2022-04-07T14:19:08Z,True,Not Found
16,vipstone/faceai,https://github.com/vipstone/faceai,9449,MIT License,4,40473,9449,2353,False,34,5,2018-04-17T08:44:17Z,2022-04-07T09:50:21Z,True,
17,frida/frida,https://github.com/frida/frida,9435,Other,30,20926,9435,1069,False,1008,3,2013-04-12T22:35:05Z,2022-04-07T13:30:25Z,True,
18,scipy/scipy,https://github.com/scipy/scipy,9424,"BSD 3-Clause ""New"" or ""Revised"" License",30,145249,9424,4183,False,1773,5,2011-03-09T18:52:03Z,2022-04-07T13:57:22Z,True,
19,nbedos/termtosvg,https://github.com/nbedos/termtosvg,9383,"BSD 3-Clause ""New"" or ""Revised"" License",13,1400,9383,417,True,12,8,2018-06-09T13:52:09Z,2022-04-05T16:10:42Z,True,
20,lyhue1991/eat_tensorflow2_in_30_days,https://github.com/lyhue1991/eat_tensorflow2_in_30_days,9384,Apache License 2.0,3,61313,9384,2389,True,25,4,2020-02-15T09:00:37Z,2022-04-07T05:33:43Z,True,
21,pwxcoo/chinese-xinhua,https://github.com/pwxcoo/chinese-xinhua,9317,MIT License,3,36271,9317,2208,False,26,12,2018-02-05T02:51:53Z,2022-04-07T11:09:55Z,True,
22,matrix-org/synapse,https://github.com/matrix-org/synapse,9273,Apache License 2.0,30,186174,9273,1715,True,1377,3,2014-08-11T15:51:42Z,2022-04-06T21:49:07Z,True,
23,mwaskom/seaborn,https://github.com/mwaskom/seaborn,9288,"BSD 3-Clause ""New"" or ""Revised"" License",30,53090,9288,1578,False,117,5,2012-06-18T18:41:19Z,2022-04-07T07:52:54Z,True,
24,dmlc/dgl,https://github.com/dmlc/dgl,9268,Apache License 2.0,30,17775,9268,2145,False,288,2,2018-04-20T14:49:09Z,2022-04-07T12:52:16Z,True,
25,NVlabs/stylegan2,https://github.com/NVlabs/stylegan2,9301,Other,3,594,9301,2273,True,26,0,2019-11-26T20:52:23Z,2022-04-07T07:56:02Z,True,
26,wistbean/learn_python3_spider,https://github.com/wistbean/learn_python3_spider,9323,MIT License,8,22509,9323,2589,False,16,3,2019-04-02T20:19:54Z,2022-04-07T13:32:32Z,True,
27,Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,9256,,7,29620,9256,2187,False,48,2,2019-11-19T17:24:16Z,2022-04-07T11:23:05Z,True,Not Found
28,lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,9264,MIT License,15,8319,9264,1537,False,84,5,2020-10-03T22:47:24Z,2022-04-07T14:22:22Z,True,
29,deepmind/sonnet,https://github.com/deepmind/sonnet,9246,Apache License 2.0,30,16717,9246,1322,True,28,5,2017-04-03T11:34:35Z,2022-04-07T09:11:27Z,True,
30,darknessomi/musicbox,https://github.com/darknessomi/musicbox,9260,MIT License,30,1869,9260,1590,False,228,4,2014-08-05T03:28:24Z,2022-04-07T10:22:11Z,True,
31,cookiecutter/cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django,9231,"BSD 3-Clause ""New"" or ""Revised"" License",30,6682,9231,2391,False,118,10,2013-08-14T17:43:31Z,2022-04-07T08:21:47Z,True,
32,programthink/zhao,https://github.com/programthink/zhao,9258,GNU General Public License v3.0,1,72400,9258,2399,False,302,0,2016-02-28T15:38:57Z,2022-04-07T08:56:56Z,True,
33,tgbot-collection/YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,9775,MIT License,5,16132,9775,1432,False,6,6,2019-08-15T07:50:56Z,2022-04-07T14:42:54Z,True,
34,wilsonfreitas/awesome-quant,https://github.com/wilsonfreitas/awesome-quant,9173,,30,747,9173,1633,False,3,20,2015-09-30T09:53:49Z,2022-04-07T10:50:53Z,True,Not Found
